Hash:2
0	100
1	119
2	103
3	103
4	88
5	103
6	106
7	85
8	95
9	99
10	82
11	85
12	88
13	96
14	106
15	82
16	100
17	109
18	103
19	118
20	104
21	93
22	104
23	100
24	99
25	103
26	102
27	102
28	87
29	99
30	95
31	109
32	111
33	95
34	90
35	89
36	97
37	80
38	104
39	102
40	92
41	99
42	105
43	104
44	110
45	110
46	103
47	83
48	110
49	92
50	99
51	99
52	100
53	109
54	99
55	104
56	103
57	81
58	95
59	96
60	93
61	113
62	89
63	84
64	109
65	80
66	119
67	99
68	95
69	85
70	77
71	101
72	83
73	111
74	96
75	100
76	119
77	105
78	81
79	107
80	111
81	100
82	113
83	84
84	108
85	108
86	105
87	105
88	103
89	114
90	94
91	89
92	96
93	92
94	104
95	109
96	105
97	101
98	97
99	87
100	101
